股票代码,股票名称,交易日期,新浪行业,新浪概念,新浪地域,开盘价,最高价,最低价,收盘价,后复权价,前复权价,涨跌幅,成交量,成交额,换手率,流通市值,总市值,是否涨停,是否跌停,市盈率TTM,市销率TTM,市现率TTM,市净率,MA_5,MA_10,MA_20,MA_30,MA_60,MA金叉死叉,MACD_DIF,MACD_DEA,MACD_MACD,MACD_金叉死叉,KDJ_K,KDJ_D,KDJ_J,KDJ_金叉死叉,布林线中轨,布林线上轨,布林线下轨,psy,psyma,rsi1,rsi2,rsi3,振幅,量比
sz300429,强力新材,2016-12-14,化工行业,次新股,江苏,33.000000,33.000000,32.090000,32.430000,100.983232,32.430000,-0.017273,1086424.000000,35319690.160000,0.010960,3214795726.290000,8340541785.420000,0.000000,0.000000,52.721249,,45.790274,8.872534,34.236000,35.768000,37.563500,38.585333,39.445151,,-1.733768,-1.173678,-1.120180,,15.467703,17.898751,10.605607,,38.022500,42.719776,33.325224,33.333333,34.722222,8.292094,18.964032,30.813861,0.027576,0.606039
sz300429,强力新材,2016-12-13,化工行业,次新股,江苏,33.680000,33.680000,31.770000,33.000000,102.758145,33.000000,-0.009009,2152170.000000,70214551.400000,0.021711,3271299999.000000,8487137802.000000,0.000000,0.000000,53.647894,,46.595098,9.028481,35.220000,36.268000,38.022500,38.889667,39.586424,,-1.538300,-1.033655,-1.009290,,17.996507,19.114275,15.760971,,38.471000,42.624054,34.317946,33.333333,34.722222,9.512254,20.353836,31.901072,0.057357,1.190507
sz300429,强力新材,2016-12-12,化工行业,次新股,江苏,35.510000,35.550000,32.600000,33.300000,103.692310,33.300000,-0.063555,2977615.000000,99929933.100000,0.030037,3301039089.900000,8564293600.200000,0.000000,0.000000,54.135602,,47.018690,9.110558,36.064000,36.795000,38.471000,39.145667,39.732228,,-1.324474,-0.907494,-0.833960,,17.547756,19.673159,13.296949,,38.801000,42.279853,35.322147,33.333333,33.333333,10.168512,21.099873,32.479080,0.082958,1.937830
sz300429,强力新材,2016-12-09,化工行业,次新股,江苏,36.960000,37.120000,35.250000,35.560000,110.729686,35.560000,-0.036053,1958340.000000,70570312.150000,0.019755,3525073574.680000,9145533946.639999,0.000000,0.000000,57.809670,,50.209749,9.728872,36.838000,37.301000,38.801000,39.388333,39.869699,,-1.062834,-0.803249,-0.519169,,20.429377,20.735860,19.816412,死叉,38.981500,42.247313,35.715687,33.333333,30.555556,17.937338,28.250390,37.366960,0.050691,1.690601
sz300429,强力新材,2016-12-08,化工行业,次新股,江苏,37.350000,37.490000,36.880000,36.890000,114.871151,36.890000,-0.012316,788762.000000,29310499.780000,0.007957,3656916877.670000,9487591318.660000,0.000000,0.000000,59.971843,,52.087672,10.092747,37.102000,37.617000,38.981500,39.567333,39.975900,1日、5日均线死叉；,-0.943535,-0.738353,-0.410365,,26.098612,20.889102,36.517631,,39.121500,42.309966,35.933034,33.333333,27.777778,28.685033,34.570379,40.832601,0.016332,0.756906
sz300429,强力新材,2016-12-07,化工行业,次新股,江苏,36.900000,37.480000,36.800000,37.350000,116.303537,37.350000,0.003493,1161991.000000,43129328.440000,0.011722,3702516817.050000,9605896875.900000,0.000000,0.000000,60.719662,,52.737180,10.218599,37.300000,37.842000,39.121500,39.668000,40.082084,1日、5日均线金叉；,-0.912961,-0.687057,-0.451809,,24.626465,18.284347,37.310702,,39.228000,42.394586,36.061414,41.666667,25.000000,34.672904,37.209526,42.127649,0.018270,1.050902
sz300429,强力新材,2016-12-06,化工行业,次新股,江苏,37.230000,37.580000,36.660000,37.220000,115.898733,37.220000,0.001345,796150.000000,29626306.400000,0.008031,3689629877.660000,9572462696.680000,0.000000,0.000000,60.508322,,52.553623,10.183032,37.316000,38.117000,39.228000,39.755000,40.181031,,-0.907495,-0.630581,-0.553828,,17.575536,15.113288,22.500032,金叉,39.379000,42.437329,36.320671,33.333333,22.222222,31.295308,35.942676,41.626232,0.024751,0.653340
sz300429,强力新材,2016-12-05,化工行业,次新股,江苏,36.880000,37.690000,36.010000,37.170000,115.743038,37.170000,0.007863,1086604.000000,40056074.800000,0.010961,3684673362.510000,9559603396.980000,0.000000,0.000000,60.427037,,52.483025,10.169352,37.526000,38.465000,39.379000,39.890667,40.296714,,-0.874081,-0.561353,-0.625457,,12.581983,13.882164,9.981620,,39.537000,42.446482,36.627518,25.000000,20.833333,30.137588,35.483754,41.439217,0.045553,0.887980
sz300429,强力新材,2016-12-02,化工行业,次新股,江苏,38.010000,38.110000,36.810000,36.880000,114.840012,36.880000,-0.026399,1376927.000000,51487708.890000,0.013890,3655925574.640000,9485019458.719999,0.000000,0.000000,59.955586,,52.073552,10.090011,37.764000,38.712000,39.537000,40.027333,40.414520,,-0.813629,-0.483170,-0.660916,,8.211209,14.532254,-4.430881,,39.770500,42.441134,37.099866,16.666667,22.222222,23.943147,32.929031,40.377485,0.034319,1.111181
sz300429,强力新材,2016-12-01,化工行业,次新股,江苏,37.500000,38.280000,37.310000,37.880000,117.953895,37.880000,0.012022,1106870.000000,41870447.280000,0.011166,3755055877.640000,9742205452.719999,0.000000,0.000000,61.581280,,53.485525,10.363602,38.132000,39.082000,39.770500,40.191333,40.508236,,-0.695107,-0.400556,-0.589102,,11.562503,17.692777,-0.698043,,39.994000,42.625240,37.362760,16.666667,25.000000,32.129318,37.640342,42.950830,0.025915,0.796516
sz300429,强力新材,2016-11-30,化工行业,次新股,江苏,37.980000,38.540000,37.420000,37.430000,116.552648,37.430000,-0.021949,1726373.000000,65459111.470000,0.017415,3710447241.290000,9626471755.420000,0.000000,0.000000,60.849718,,52.850137,10.240486,38.384000,39.359000,39.994000,40.363000,40.618832,,-0.635538,-0.326918,-0.617240,,10.459697,20.757914,-10.136735,,40.200500,42.614247,37.786753,16.666667,27.777778,22.147664,33.729148,41.338549,0.029266,1.130963
sz300429,强力新材,2016-11-29,化工行业,次新股,江苏,38.660000,38.660000,38.220000,38.270000,119.168310,38.270000,-0.002346,821630.000000,31550526.030000,0.008288,3793716695.810000,9842507990.379999,0.000000,0.000000,62.215300,,54.036195,10.470302,38.918000,39.777000,40.200500,40.526333,40.713006,,-0.504444,-0.249763,-0.509362,,15.565476,25.907022,-5.117614,,40.321000,42.580143,38.061857,25.000000,30.555556,28.717459,37.784176,43.539755,0.011470,0.528512
sz300429,强力新材,2016-11-28,化工行业,次新股,江苏,38.880000,39.040000,38.300000,38.360000,119.448559,38.360000,-0.009298,1163983.000000,44845369.240000,0.011742,3802638423.080000,9865654729.840000,0.000000,0.000000,62.361613,,54.163272,10.494925,39.404000,40.147000,40.321000,40.653000,40.804038,,-0.415310,-0.186093,-0.458434,,19.545398,31.077794,-3.519396,,40.432000,42.520558,38.343442,25.000000,30.555556,29.498744,38.235648,43.779116,0.019112,0.595621
sz300429,强力新材,2016-11-25,化工行业,次新股,江苏,39.050000,39.470000,38.000000,38.720000,120.569557,38.720000,-0.010731,2129340.000000,81908306.300000,0.021480,3838325332.160000,9958241687.680000,0.000000,0.000000,62.946863,,54.671582,10.593417,39.660000,40.301000,40.432000,40.761667,40.892925,,-0.304666,-0.128789,-0.351754,,25.488309,36.843993,2.776942,,40.542500,42.514743,38.570257,33.333333,31.944444,32.440671,39.987584,44.721569,0.037557,0.947805
